Epoch;Loss training;NS_Loss;U_Loss;V_Loss;P_Loss;learning rate;time;
39 ; 9.9600e-01 ; 4.6724e-15 ; 1.0057e+00 ; 1.0270e+00 ; 1.0354e+00 ; 1.0000e-03 ; 1.1418e+01 ; 
40 ; 1.0005e+00 ; 1.0376e-15 ; 9.9780e-01 ; 9.9893e-01 ; 9.9700e-01 ; 1.0000e-03 ; 1.1262e+01 ; 
41 ; 9.9630e-01 ; 1.8596e-14 ; 9.9910e-01 ; 9.9510e-01 ; 1.0030e+00 ; 1.0000e-03 ; 1.3499e+01 ; 
42 ; 1.0028e+00 ; 2.8042e-15 ; 9.9889e-01 ; 9.9911e-01 ; 9.9695e-01 ; 1.0000e-03 ; 1.1324e+01 ; 
43 ; 9.9724e-01 ; 2.9930e-14 ; 1.0519e+00 ; 9.9566e-01 ; 1.0105e+00 ; 1.0000e-03 ; 1.1303e+01 ; 
44 ; 1.0072e+00 ; 7.4057e-15 ; 9.9622e-01 ; 1.0205e+00 ; 9.9599e-01 ; 1.0000e-03 ; 1.3485e+01 ; 
45 ; 1.0059e+00 ; 7.5694e-15 ; 9.9514e-01 ; 1.0047e+00 ; 9.9501e-01 ; 1.0000e-03 ; 1.1257e+01 ; 
46 ; 9.9701e-01 ; 9.0117e-15 ; 1.0113e+00 ; 1.0126e+00 ; 9.9498e-01 ; 1.0000e-03 ; 1.1329e+01 ; 
47 ; 9.9721e-01 ; 1.1130e-14 ; 9.9868e-01 ; 9.9483e-01 ; 9.9884e-01 ; 1.0000e-03 ; 1.3578e+01 ; 
48 ; 9.9502e-01 ; 1.6730e-16 ; 1.0418e+00 ; 9.9530e-01 ; 1.0067e+00 ; 1.0000e-03 ; 1.1270e+01 ; 
49 ; 1.0013e+00 ; 1.1630e-15 ; 9.9799e-01 ; 9.9504e-01 ; 9.9899e-01 ; 1.0000e-03 ; 1.4185e+01 ; 
50 ; 9.9638e-01 ; 2.8309e-16 ; 9.9624e-01 ; 9.9501e-01 ; 9.9973e-01 ; 1.0000e-03 ; 2.3056e+02 ; 
51 ; 9.9673e-01 ; 7.3495e-17 ; 9.9577e-01 ; 1.0015e+00 ; 9.9934e-01 ; 1.0000e-03 ; 4.0954e+02 ; 
52 ; 1.0110e+00 ; 5.3890e-16 ; 1.0011e+00 ; 1.0343e+00 ; 9.9753e-01 ; 1.0000e-03 ; 4.2903e+02 ; 
53 ; 9.9918e-01 ; 1.3909e-16 ; 1.0040e+00 ; 9.9472e-01 ; 1.0071e+00 ; 1.0000e-03 ; 4.3227e+02 ; 
54 ; 9.9813e-01 ; 1.7163e-16 ; 9.9650e-01 ; 9.9779e-01 ; 9.9594e-01 ; 1.0000e-03 ; 4.2990e+02 ; 
55 ; 1.0113e+00 ; 1.8090e-15 ; 9.9657e-01 ; 9.9544e-01 ; 9.9717e-01 ; 1.0000e-03 ; 4.3137e+02 ; 
56 ; 9.9660e-01 ; 2.4539e-16 ; 1.0283e+00 ; 9.9751e-01 ; 9.9502e-01 ; 1.0000e-03 ; 4.2912e+02 ; 
57 ; 1.0133e+00 ; 2.0729e-13 ; 1.0054e+00 ; 1.0041e+00 ; 1.0016e+00 ; 1.0000e-03 ; 4.2996e+02 ; 
58 ; 9.9882e-01 ; 1.2139e-15 ; 1.0021e+00 ; 9.9471e-01 ; 1.0147e+00 ; 1.0000e-03 ; 4.3276e+02 ; 
59 ; 1.0000e+00 ; 4.5804e-15 ; 1.0003e+00 ; 9.9603e-01 ; 9.9561e-01 ; 1.0000e-03 ; 4.3025e+02 ; 
60 ; 1.8488e+00 ; 4.9922e-15 ; 1.1124e+00 ; 1.8253e+00 ; 1.0268e+00 ; 1.0000e-03 ; 4.3090e+02 ; 
