epoch,loss,g[0],||v[0]||,"v[0,0]","v[0,1]",gamma[0],bias[0],"W_eff[0,0]","W_eff[0,1]"
0,14.444482803344727,0.4349542260169983,0.4349542260169983,0.25174903869628906,0.3546936511993408,1.0,0.0,0.25174903869628906,0.3546936511993408
1,11.00561809539795,0.42000919580459595,0.5728092789649963,0.5719577074050903,-0.0312223918735981,0.9718580842018127,0.37638622522354126,0.41938477754592896,-0.022893644869327545
2,6.566374778747559,0.7745150327682495,0.7710772156715393,0.6716963648796082,-0.3786608576774597,1.3266546726226807,0.7346277832984924,0.6746910810470581,-0.3803490996360779
3,2.3314993381500244,1.1824978590011597,0.9094043374061584,0.6572392582893372,-0.6285322904586792,1.750814437866211,1.0299794673919678,0.8546077609062195,-0.817280113697052
4,0.12351750582456589,1.548176884651184,1.012774109840393,0.8089948296546936,-0.609293520450592,2.1470677852630615,1.1791486740112305,1.2366697788238525,-0.9313964247703552
5,0.4075051546096802,1.7529442310333252,1.0933637619018555,0.9494008421897888,-0.5422935485839844,2.371669292449951,1.207316517829895,1.52213454246521,-0.869436502456665
6,0.20244522392749786,1.7322285175323486,1.1179646253585815,0.9274278879165649,-0.6242774128913879,2.328214168548584,1.1294702291488647,1.4370017051696777,-0.9672856330871582
7,0.009597591124475002,1.6212633848190308,1.1369421482086182,0.9332292675971985,-0.6494002342224121,2.1810431480407715,1.0371894836425781,1.330771803855896,-0.9260355234146118
8,0.05945385992527008,1.5814547538757324,1.1528849601745605,0.9661322832107544,-0.6290724873542786,2.127473831176758,0.986350417137146,1.3252792358398438,-0.862921953201294
9,0.00876687653362751,1.6191365718841553,1.155320167541504,0.9561632871627808,-0.6484724283218384,2.1729259490966797,0.9739809632301331,1.3400259017944336,-0.9088090658187866
10,0.0040833246894180775,1.6549729108810425,1.1590352058410645,0.9630614519119263,-0.6448838710784912,2.216987371444702,0.983427882194519,1.3751442432403564,-0.9208222031593323
11,0.004431805573403835,1.6546207666397095,1.1624773740768433,0.973578929901123,-0.6352146863937378,2.216132402420044,0.9924075603485107,1.3857507705688477,-0.9041375517845154
12,0.00026431839796714485,1.640110969543457,1.161019206047058,0.9633539319038391,-0.6480083465576172,2.1977407932281494,0.9967846274375916,1.36087965965271,-0.9154074192047119
13,0.0007660987903364003,1.6336508989334106,1.161920189857483,0.9658240079879761,-0.6459431648254395,2.1895503997802734,1.0009291172027588,1.3579411506652832,-0.9081912040710449
14,8.603396418038756e-05,1.638917326927185,1.1626397371292114,0.9682824611663818,-0.6435527801513672,2.196112871170044,1.00373375415802,1.3649412393569946,-0.9071853756904602
15,0.00015531023382209241,1.642958164215088,1.1623449325561523,0.9663880467414856,-0.6458636522293091,2.2011611461639404,1.0030120611190796,1.3659758567810059,-0.9129192233085632
16,1.9886552763637155e-05,1.6412492990493774,1.1627212762832642,0.9679564833641052,-0.64419025182724,2.1990091800689697,1.0005571842193604,1.3663274049758911,-0.9093123078346252
17,1.631879058550112e-05,1.6394901275634766,1.1626020669937134,0.9672764539718628,-0.644995927810669,2.1967990398406982,0.9989586472511292,1.364043951034546,-0.9095669984817505
18,6.36675122223096e-06,1.6399518251419067,1.1625754833221436,0.9670969247817993,-0.6452172994613647,2.197376012802124,0.9990089535713196,1.3642059564590454,-0.9101561903953552
19,2.7277806111669634e-06,1.6407471895217896,1.1626849174499512,0.9675951600074768,-0.6446673274040222,2.1983728408813477,0.9996469616889954,1.365442156791687,-0.9097357988357544
20,1.1552290288818767e-06,1.6406584978103638,1.1626311540603638,0.9673256278038025,-0.6449745893478394,2.198261260986328,1.000014066696167,1.3650511503219604,-0.9101622700691223
21,4.007578979781101e-07,1.6402608156204224,1.1626437902450562,0.9673810601234436,-0.6449143886566162,2.1977622509002686,1.0001240968704224,1.3647836446762085,-0.909846842288971
22,2.241781942302623e-07,1.6402983665466309,1.162640929222107,0.9673649668693542,-0.6449333429336548,2.1978092193603516,1.0001122951507568,1.3647955656051636,-0.909896731376648
23,7.094211440517029e-08,1.64047110080719,1.1626412868499756,0.9673652648925781,-0.6449334621429443,2.198025703430176,1.0000604391098022,1.3649392127990723,-0.9099923968315125
24,3.943902981973224e-08,1.640453577041626,1.1626497507095337,0.9674050211906433,-0.6448890566825867,2.1980037689208984,0.9999832510948181,1.3649708032608032,-0.9099133610725403
25,3.1477146222869123e-08,1.640382170677185,1.1626393795013428,0.9673557281494141,-0.6449443697929382,2.1979141235351562,0.9999406337738037,1.364854097366333,-0.9099599123001099
26,9.814505652627759e-09,1.6403977870941162,1.162646770477295,0.9673911333084106,-0.6449046730995178,2.1979331970214844,0.9999728798866272,1.3649083375930786,-0.909906804561615
27,6.267542040916396e-09,1.6404308080673218,1.162643313407898,0.9673741459846497,-0.6449238657951355,2.197974920272827,1.0000090599060059,1.3649158477783203,-0.9099549055099487
28,8.137591711587788e-10,1.6404166221618652,1.1626451015472412,0.9673827290534973,-0.6449142098426819,2.1979572772979736,1.0000133514404297,1.364914059638977,-0.909932017326355
29,1.3062926296214528e-09,1.640404462814331,1.1626436710357666,0.9673762917518616,-0.6449213027954102,2.1979422569274902,1.0000026226043701,1.3648966550827026,-0.9099363684654236
30,4.3110626180009604e-11,1.6404139995574951,1.1626439094543457,0.9673775434494019,-0.6449198722839355,2.1979546546936035,0.9999986886978149,1.3649060726165771,-0.9099394083023071
